,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_dls
5809,29723240,Cozy and beautiful apartment,12699822,Ernesto,Saavedra,-34.54712,-58.47099,Entire home/apt,4343,5,37,2022-09-13,0.84,2,145,14,28.63
5810,29728376,Charming Roof Top Botanico,103250253,Eva,Palermo,-34.58371,-58.41914,Entire home/apt,8685,3,1,2019-11-07,0.03,1,125,0,57.26
5811,29895896,"""METELE QUE SON PASTELES""",224800357,Maria Ximena,San Nicolas,-34.60836,-58.38423,Entire home/apt,2606,2,3,2019-01-04,0.06,1,0,0,17.18
5814,29898322,Habitacion Executive Avellaneda Aparts,223855671,Avellaneda Aparts & Suites,Floresta,-34.63003,-58.48558,Private room,30800,1,1,2019-10-04,0.03,10,360,0,203.07
5815,29898607,Bright and Modern studio in Abasto neighborhood,224819041,Sofia,Almagro,-34.60471,-58.41398,Entire home/apt,4343,3,16,2020-05-16,0.34,1,264,0,28.63
5816,29732896,Modern and spacious apartment near the metro,59483565,Federico,Parque Chacabuco,-34.6341,-58.43259,Entire home/apt,3619,11,18,2022-08-28,0.38,1,55,4,23.86
5817,29899463,bed in dorm mixto for 5 persons - Sabatico Hostel,3871145,Sebastian,Monserrat,-34.61447,-58.38503,Shared room,2069,1,0,0,0.0,18,97,0,13.64
5818,29900230,Double private ensuite superior,3871145,Sebastian,Monserrat,-34.61466,-58.38579,Hotel room,6617,1,1,2022-07-27,0.52,18,102,1,43.63
5819,29733457,Charito Place,178069226,Agustin,Recoleta,-34.5936,-58.40593,Entire home/apt,4487,7,4,2022-07-20,0.09,10,98,3,29.58
5820,29734547,"Super luminoso, alegre y excepcional ubicación",53751767,Clara,Retiro,-34.59848,-58.381,Entire home/apt,1450,4,1,2019-01-15,0.02,1,0,0,9.56
5821,29902434,Luminoso Departamento en Palermo,51035408,Ignacio,Recoleta,-34.59262,-58.41271,Entire home/apt,5356,2,22,2021-12-16,0.47,1,171,2,35.31
5822,29903324,2 Bedrooms with sunny terrace in Palermo Soho,16105034,Martin,Palermo,-34.59285,-58.42637,Entire home/apt,8849,3,32,2022-08-15,0.72,4,326,15,58.34
5823,29906688,NEW! Best Location in Palermo!,11258401,Natalia,Palermo,-34.57817,-58.40903,Entire home/apt,5645,1,82,2022-07-25,1.74,12,300,27,37.22
